Morpheme,*VcV,Max,Ident
General,2.34031666792477,4.335102072565747,3.5227991433105883
s0,0.0,0.0,0.0
s1,0.0,0.0,0.0
s2,0.0,0.0,0.0
s3,0.0,0.0,0.0
s4,0.0,0.0,0.0
s5,1.9096477426001301,0.0,0.0
s6,1.9096477426001301,0.0,0.0
s7,1.9096477426001301,0.0,0.0
s8,1.9096477426001301,0.0,0.0
s9,1.9096477426001301,0.0,0.0
s10,1.9096477426001301,0.0,0.0
s11,1.9096477426001301,0.0,0.0
s12,0.0,0.0,0.0
s13,0.0,0.0,0.0
s14,0.0,0.0,0.0
s15,0.0,0.0,0.0
s16,2.693328163522064,0.0,1.5383282904537727
s17,2.693328163522064,0.0,1.5383282904537727
s18,2.693328163522064,0.0,1.5383282904537727
s19,2.693328163522064,0.0,1.5383282904537727
s20,2.693328163522064,0.0,1.5383282904537727
p0,0.0,0.0,0.0
p1,0.0,0.0,0.0
p2,0.0,0.0,0.0
p3,0.0,0.0,0.0
p4,0.0,0.0,0.0
p5,0.0,0.0,0.0
p6,0.0,0.0,0.0
p7,0.0,0.0,0.0
