Morpheme,*VcV,Max,Ident
General,2.5571500049275824,3.8927240582170377,3.407948284231132
s0,0.0,0.0,0.0
s1,0.0,0.0,0.0
s2,0.0,0.0,0.0
s3,0.0,0.0,0.0
s4,0.0,0.0,0.0
s5,1.062119166684582,0.0,0.0
s6,1.062119166684582,0.0,0.0
s7,1.062119166684582,0.0,0.0
s8,1.062119166684582,0.0,0.0
s9,1.062119166684582,0.0,0.0
s10,1.062119166684582,0.0,0.0
s11,1.062119166684582,0.0,0.0
s12,0.0,0.0,0.0
s13,0.0,0.0,0.0
s14,0.0,0.0,0.0
s15,0.0,0.0,0.0
s16,1.3801705675791924,0.0,0.5848896030344053
s17,1.3801705675791924,0.0,0.5848896030344053
s18,1.3801705675791924,0.0,0.5848896030344053
s19,1.3801705675791924,0.0,0.5848896030344053
s20,1.3801705675791924,0.0,0.5848896030344053
p0,0.0,0.0,0.0
p1,0.0,0.0,0.0
p2,0.0,0.0,0.0
p3,0.0,0.0,0.0
p4,0.0,0.0,0.0
p5,0.0,0.0,0.0
