Input,Output,ObservedProb,ExpectedProb
pat-a,pata,1.0,0.5916876090785739
pat-a,pala,0.0,0.2526943179889119
pat-a,paa,0.0,0.1556180729325143
pat-ta,patta,1.0,0.9492179875191661
pat-ta,palta,0.0,0.03142771636440028
pat-ta,pata,0.0,0.01935429611643353
pat-e,pate,1.0,0.5916876090785739
pat-e,pale,0.0,0.2526943179889119
pat-e,pae,0.0,0.1556180729325143
pat-te,patte,1.0,0.9492179875191661
pat-te,palte,0.0,0.03142771636440028
pat-te,pate,0.0,0.01935429611643353
pat-tu,pattu,1.0,0.9492179875191661
pat-tu,paltu,0.0,0.03142771636440028
pat-tu,patu,0.0,0.01935429611643353
pat-u,patu,1.0,0.5916876090785739
pat-u,palu,0.0,0.2526943179889119
pat-u,pau,0.0,0.1556180729325143
met-a,meta,1.0,0.5916876090785739
met-a,mela,0.0,0.2526943179889119
met-a,mea,0.0,0.1556180729325143
met-ta,metta,1.0,0.9492179875191661
met-ta,melta,0.0,0.03142771636440028
met-ta,meta,0.0,0.01935429611643353
met-e,mete,1.0,0.5916876090785739
met-e,mele,0.0,0.2526943179889119
met-e,mee,0.0,0.1556180729325143
met-te,mette,1.0,0.9492179875191661
met-te,melte,0.0,0.03142771636440028
met-te,mete,0.0,0.01935429611643353
met-tu,mettu,1.0,0.9492179875191661
met-tu,meltu,0.0,0.03142771636440028
met-tu,metu,0.0,0.01935429611643353
met-u,metu,1.0,0.5916876090785739
met-u,melu,0.0,0.2526943179889119
met-u,meu,0.0,0.1556180729325143
pot-a,pota,1.0,0.5916876090785739
pot-a,pola,0.0,0.2526943179889119
pot-a,poa,0.0,0.1556180729325143
pot-ta,potta,1.0,0.9492179875191661
pot-ta,polta,0.0,0.03142771636440028
pot-ta,pota,0.0,0.01935429611643353
pot-e,pote,1.0,0.5916876090785739
pot-e,pole,0.0,0.2526943179889119
pot-e,poe,0.0,0.1556180729325143
pot-te,potte,1.0,0.9492179875191661
pot-te,polte,0.0,0.03142771636440028
pot-te,pote,0.0,0.01935429611643353
pot-tu,pottu,1.0,0.9492179875191661
pot-tu,poltu,0.0,0.03142771636440028
pot-tu,potu,0.0,0.01935429611643353
pot-u,potu,1.0,0.5916876090785739
pot-u,polu,0.0,0.2526943179889119
pot-u,pou,0.0,0.1556180729325143
sut-a,suta,1.0,0.5916876090785739
sut-a,sula,0.0,0.2526943179889119
sut-a,sua,0.0,0.1556180729325143
sut-ta,sutta,1.0,0.9492179875191661
sut-ta,sulta,0.0,0.03142771636440028
sut-ta,suta,0.0,0.01935429611643353
sut-e,sute,1.0,0.5916876090785739
sut-e,sule,0.0,0.2526943179889119
sut-e,sue,0.0,0.1556180729325143
sut-te,sutte,1.0,0.9492179875191661
sut-te,sulte,0.0,0.03142771636440028
sut-te,sute,0.0,0.01935429611643353
sut-tu,suttu,1.0,0.9492179875191661
sut-tu,sultu,0.0,0.03142771636440028
sut-tu,sutu,0.0,0.01935429611643353
sut-u,sutu,1.0,0.5916876090785739
sut-u,sulu,0.0,0.2526943179889119
sut-u,suu,0.0,0.1556180729325143
kat-a,kata,1.0,0.5916876090785739
kat-a,kala,0.0,0.2526943179889119
kat-a,kaa,0.0,0.1556180729325143
kat-ta,katta,1.0,0.9492179875191661
kat-ta,kalta,0.0,0.03142771636440028
kat-ta,kata,0.0,0.01935429611643353
kat-e,kate,1.0,0.5916876090785739
kat-e,kale,0.0,0.2526943179889119
kat-e,kae,0.0,0.1556180729325143
kat-te,katte,1.0,0.9492179875191661
kat-te,kalte,0.0,0.03142771636440028
kat-te,kate,0.0,0.01935429611643353
kat-tu,kattu,1.0,0.9492179875191661
kat-tu,kaltu,0.0,0.03142771636440028
kat-tu,katu,0.0,0.01935429611643353
kat-u,katu,1.0,0.5916876090785739
kat-u,kalu,0.0,0.2526943179889119
kat-u,kau,0.0,0.1556180729325143
hot-a,hota,0.0,0.5916876090785739
hot-a,hola,1.0,0.2526943179889119
hot-a,hoa,0.0,0.1556180729325143
hot-ta,hotta,1.0,0.9492179875191661
hot-ta,holta,0.0,0.03142771636440028
hot-ta,hota,0.0,0.01935429611643353
hot-e,hote,0.0,0.5916876090785739
hot-e,hole,1.0,0.2526943179889119
hot-e,hoe,0.0,0.1556180729325143
hot-te,hotte,1.0,0.9492179875191661
hot-te,holte,0.0,0.03142771636440028
hot-te,hote,0.0,0.01935429611643353
hot-tu,hottu,1.0,0.9492179875191661
hot-tu,holtu,0.0,0.03142771636440028
hot-tu,hotu,0.0,0.01935429611643353
hot-u,hotu,0.0,0.5916876090785739
hot-u,holu,1.0,0.2526943179889119
hot-u,hou,0.0,0.1556180729325143
mut-a,muta,0.0,0.5916876090785739
mut-a,mula,1.0,0.2526943179889119
mut-a,mua,0.0,0.1556180729325143
mut-ta,mutta,1.0,0.9492179875191661
mut-ta,multa,0.0,0.03142771636440028
mut-ta,muta,0.0,0.01935429611643353
mut-e,mute,0.0,0.5916876090785739
mut-e,mule,1.0,0.2526943179889119
mut-e,mue,0.0,0.1556180729325143
mut-te,mutte,1.0,0.9492179875191661
mut-te,multe,0.0,0.03142771636440028
mut-te,mute,0.0,0.01935429611643353
mut-tu,muttu,1.0,0.9492179875191661
mut-tu,multu,0.0,0.03142771636440028
mut-tu,mutu,0.0,0.01935429611643353
mut-u,mutu,0.0,0.5916876090785739
mut-u,mulu,1.0,0.2526943179889119
mut-u,muu,0.0,0.1556180729325143
mot-a,mota,0.0,0.5916876090785739
mot-a,mola,1.0,0.2526943179889119
mot-a,moa,0.0,0.1556180729325143
mot-ta,motta,1.0,0.9492179875191661
mot-ta,molta,0.0,0.03142771636440028
mot-ta,mota,0.0,0.01935429611643353
mot-e,mote,0.0,0.5916876090785739
mot-e,mole,1.0,0.2526943179889119
mot-e,moe,0.0,0.1556180729325143
mot-te,motte,1.0,0.9492179875191661
mot-te,molte,0.0,0.03142771636440028
mot-te,mote,0.0,0.01935429611643353
mot-tu,mottu,1.0,0.9492179875191661
mot-tu,moltu,0.0,0.03142771636440028
mot-tu,motu,0.0,0.01935429611643353
mot-u,motu,0.0,0.5916876090785739
mot-u,molu,1.0,0.2526943179889119
mot-u,mou,0.0,0.1556180729325143
nit-a,nita,0.0,0.5916876090785739
nit-a,nila,1.0,0.2526943179889119
nit-a,nia,0.0,0.1556180729325143
nit-ta,nitta,1.0,0.9492179875191661
nit-ta,nilta,0.0,0.03142771636440028
nit-ta,nita,0.0,0.01935429611643353
nit-e,nite,0.0,0.5916876090785739
nit-e,nile,1.0,0.2526943179889119
nit-e,nie,0.0,0.1556180729325143
nit-te,nitte,1.0,0.9492179875191661
nit-te,nilte,0.0,0.03142771636440028
nit-te,nite,0.0,0.01935429611643353
nit-tu,nittu,1.0,0.9492179875191661
nit-tu,niltu,0.0,0.03142771636440028
nit-tu,nitu,0.0,0.01935429611643353
nit-u,nitu,0.0,0.5916876090785739
nit-u,nilu,1.0,0.2526943179889119
nit-u,niu,0.0,0.1556180729325143
tot-a,tota,0.0,0.5916876090785739
tot-a,tola,1.0,0.2526943179889119
tot-a,toa,0.0,0.1556180729325143
tot-ta,totta,1.0,0.9492179875191661
tot-ta,tolta,0.0,0.03142771636440028
tot-ta,tota,0.0,0.01935429611643353
tot-e,tote,0.0,0.5916876090785739
tot-e,tole,1.0,0.2526943179889119
tot-e,toe,0.0,0.1556180729325143
tot-te,totte,1.0,0.9492179875191661
tot-te,tolte,0.0,0.03142771636440028
tot-te,tote,0.0,0.01935429611643353
tot-tu,tottu,1.0,0.9492179875191661
tot-tu,toltu,0.0,0.03142771636440028
tot-tu,totu,0.0,0.01935429611643353
tot-u,totu,0.0,0.5916876090785739
tot-u,tolu,1.0,0.2526943179889119
tot-u,tou,0.0,0.1556180729325143
not-a,nota,0.0,0.5916876090785739
not-a,nola,1.0,0.2526943179889119
not-a,noa,0.0,0.1556180729325143
not-ta,notta,1.0,0.9492179875191661
not-ta,nolta,0.0,0.03142771636440028
not-ta,nota,0.0,0.01935429611643353
