Input,Output,ObservedProb,ExpectedProb
pat-a,pata,1.0,0.7529803636716351
pat-a,pala,0.0,0.1751140037081893
pat-a,paa,0.0,0.07190563262017563
pat-ta,patta,1.0,0.9676716887967728
pat-ta,palta,0.0,0.022917773226724558
pat-ta,pata,0.0,0.009410537976502717
pat-e,pate,1.0,0.7529803636716351
pat-e,pale,0.0,0.1751140037081893
pat-e,pae,0.0,0.07190563262017563
pat-te,patte,1.0,0.9676716887967728
pat-te,palte,0.0,0.022917773226724558
pat-te,pate,0.0,0.009410537976502717
pat-tu,pattu,1.0,0.9676716887967728
pat-tu,paltu,0.0,0.022917773226724558
pat-tu,patu,0.0,0.009410537976502717
pat-u,patu,1.0,0.7529803636716351
pat-u,palu,0.0,0.1751140037081893
pat-u,pau,0.0,0.07190563262017563
pat-o,pato,1.0,0.7529803636716351
pat-o,palo,0.0,0.1751140037081893
pat-o,pao,0.0,0.07190563262017563
pat-to,patto,1.0,0.9676716887967728
pat-to,palto,0.0,0.022917773226724558
pat-to,pato,0.0,0.009410537976502717
pat-i,pati,1.0,0.7529803636716351
pat-i,pali,0.0,0.1751140037081893
pat-i,pai,0.0,0.07190563262017563
pat-ti,patti,1.0,0.9676716887967728
pat-ti,palti,0.0,0.022917773226724558
pat-ti,pati,0.0,0.009410537976502717
met-a,meta,1.0,0.7529803636716351
met-a,mela,0.0,0.1751140037081893
met-a,mea,0.0,0.07190563262017563
met-ta,metta,1.0,0.9676716887967728
met-ta,melta,0.0,0.022917773226724558
met-ta,meta,0.0,0.009410537976502717
met-e,mete,1.0,0.7529803636716351
met-e,mele,0.0,0.1751140037081893
met-e,mee,0.0,0.07190563262017563
met-te,mette,1.0,0.9676716887967728
met-te,melte,0.0,0.022917773226724558
met-te,mete,0.0,0.009410537976502717
met-tu,mettu,1.0,0.9676716887967728
met-tu,meltu,0.0,0.022917773226724558
met-tu,metu,0.0,0.009410537976502717
met-u,metu,1.0,0.7529803636716351
met-u,melu,0.0,0.1751140037081893
met-u,meu,0.0,0.07190563262017563
met-o,meto,1.0,0.7529803636716351
met-o,melo,0.0,0.1751140037081893
met-o,meo,0.0,0.07190563262017563
met-to,metto,1.0,0.9676716887967728
met-to,melto,0.0,0.022917773226724558
met-to,meto,0.0,0.009410537976502717
met-i,meti,1.0,0.7529803636716351
met-i,meli,0.0,0.1751140037081893
met-i,mei,0.0,0.07190563262017563
met-ti,metti,1.0,0.9676716887967728
met-ti,melti,0.0,0.022917773226724558
met-ti,meti,0.0,0.009410537976502717
pot-a,pota,1.0,0.7529803636716351
pot-a,pola,0.0,0.1751140037081893
pot-a,poa,0.0,0.07190563262017563
pot-ta,potta,1.0,0.9676716887967728
pot-ta,polta,0.0,0.022917773226724558
pot-ta,pota,0.0,0.009410537976502717
pot-e,pote,1.0,0.7529803636716351
pot-e,pole,0.0,0.1751140037081893
pot-e,poe,0.0,0.07190563262017563
pot-te,potte,1.0,0.9676716887967728
pot-te,polte,0.0,0.022917773226724558
pot-te,pote,0.0,0.009410537976502717
pot-tu,pottu,1.0,0.9676716887967728
pot-tu,poltu,0.0,0.022917773226724558
pot-tu,potu,0.0,0.009410537976502717
pot-u,potu,1.0,0.7529803636716351
pot-u,polu,0.0,0.1751140037081893
pot-u,pou,0.0,0.07190563262017563
pot-o,poto,1.0,0.7529803636716351
pot-o,polo,0.0,0.1751140037081893
pot-o,poo,0.0,0.07190563262017563
pot-to,potto,1.0,0.9676716887967728
pot-to,polto,0.0,0.022917773226724558
pot-to,poto,0.0,0.009410537976502717
pot-i,poti,1.0,0.7529803636716351
pot-i,poli,0.0,0.1751140037081893
pot-i,poi,0.0,0.07190563262017563
pot-ti,potti,1.0,0.9676716887967728
pot-ti,polti,0.0,0.022917773226724558
pot-ti,poti,0.0,0.009410537976502717
sut-a,suta,1.0,0.7529803636716351
sut-a,sula,0.0,0.1751140037081893
sut-a,sua,0.0,0.07190563262017563
sut-ta,sutta,1.0,0.9676716887967728
sut-ta,sulta,0.0,0.022917773226724558
sut-ta,suta,0.0,0.009410537976502717
sut-e,sute,1.0,0.7529803636716351
sut-e,sule,0.0,0.1751140037081893
sut-e,sue,0.0,0.07190563262017563
sut-te,sutte,1.0,0.9676716887967728
sut-te,sulte,0.0,0.022917773226724558
sut-te,sute,0.0,0.009410537976502717
sut-tu,suttu,1.0,0.9676716887967728
sut-tu,sultu,0.0,0.022917773226724558
sut-tu,sutu,0.0,0.009410537976502717
sut-u,sutu,1.0,0.7529803636716351
sut-u,sulu,0.0,0.1751140037081893
sut-u,suu,0.0,0.07190563262017563
sut-o,suto,1.0,0.7529803636716351
sut-o,sulo,0.0,0.1751140037081893
sut-o,suo,0.0,0.07190563262017563
sut-to,sutto,1.0,0.9676716887967728
sut-to,sulto,0.0,0.022917773226724558
sut-to,suto,0.0,0.009410537976502717
sut-i,suti,1.0,0.7529803636716351
sut-i,suli,0.0,0.1751140037081893
sut-i,sui,0.0,0.07190563262017563
sut-ti,sutti,1.0,0.9676716887967728
sut-ti,sulti,0.0,0.022917773226724558
sut-ti,suti,0.0,0.009410537976502717
kat-a,kata,1.0,0.7529803636716351
kat-a,kala,0.0,0.1751140037081893
kat-a,kaa,0.0,0.07190563262017563
kat-ta,katta,1.0,0.9676716887967728
kat-ta,kalta,0.0,0.022917773226724558
kat-ta,kata,0.0,0.009410537976502717
kat-e,kate,1.0,0.7529803636716351
kat-e,kale,0.0,0.1751140037081893
kat-e,kae,0.0,0.07190563262017563
kat-te,katte,1.0,0.9676716887967728
kat-te,kalte,0.0,0.022917773226724558
kat-te,kate,0.0,0.009410537976502717
kat-tu,kattu,1.0,0.9676716887967728
kat-tu,kaltu,0.0,0.022917773226724558
kat-tu,katu,0.0,0.009410537976502717
kat-u,katu,1.0,0.7529803636716351
kat-u,kalu,0.0,0.1751140037081893
kat-u,kau,0.0,0.07190563262017563
kat-o,kato,1.0,0.7529803636716351
kat-o,kalo,0.0,0.1751140037081893
kat-o,kao,0.0,0.07190563262017563
kat-to,katto,1.0,0.9676716887967728
kat-to,kalto,0.0,0.022917773226724558
kat-to,kato,0.0,0.009410537976502717
kat-i,kati,1.0,0.7529803636716351
kat-i,kali,0.0,0.1751140037081893
kat-i,kai,0.0,0.07190563262017563
kat-ti,katti,1.0,0.9676716887967728
kat-ti,kalti,0.0,0.022917773226724558
kat-ti,kati,0.0,0.009410537976502717
hot-a,hota,0.0,0.20219856784519677
hot-a,hola,1.0,0.605268429071162
hot-a,hoa,0.0,0.19253300308364127
hot-ta,hotta,1.0,0.9649755716576943
hot-ta,holta,0.0,0.026572001336980948
hot-ta,hota,0.0,0.008452427005324576
hot-e,hote,0.0,0.20219856784519677
hot-e,hole,1.0,0.605268429071162
hot-e,hoe,0.0,0.19253300308364127
hot-te,hotte,1.0,0.9649755716576943
hot-te,holte,0.0,0.026572001336980948
hot-te,hote,0.0,0.008452427005324576
hot-tu,hottu,1.0,0.9649755716576943
hot-tu,holtu,0.0,0.026572001336980948
hot-tu,hotu,0.0,0.008452427005324576
hot-u,hotu,0.0,0.20219856784519677
hot-u,holu,1.0,0.605268429071162
hot-u,hou,0.0,0.19253300308364127
hot-o,hoto,0.0,0.20219856784519677
hot-o,holo,1.0,0.605268429071162
hot-o,hoo,0.0,0.19253300308364127
hot-to,hotto,1.0,0.9649755716576943
hot-to,holto,0.0,0.026572001336980948
hot-to,hoto,0.0,0.008452427005324576
hot-i,hoti,0.0,0.20219856784519677
hot-i,holi,1.0,0.605268429071162
hot-i,hoi,0.0,0.19253300308364127
hot-ti,hotti,1.0,0.9649755716576943
hot-ti,holti,0.0,0.026572001336980948
hot-ti,hoti,0.0,0.008452427005324576
mut-a,muta,0.0,0.20219856784519677
mut-a,mula,1.0,0.605268429071162
mut-a,mua,0.0,0.19253300308364127
mut-ta,mutta,1.0,0.9649755716576943
mut-ta,multa,0.0,0.026572001336980948
mut-ta,muta,0.0,0.008452427005324576
mut-e,mute,0.0,0.20219856784519677
mut-e,mule,1.0,0.605268429071162
mut-e,mue,0.0,0.19253300308364127
mut-te,mutte,1.0,0.9649755716576943
mut-te,multe,0.0,0.026572001336980948
mut-te,mute,0.0,0.008452427005324576
mut-tu,muttu,1.0,0.9649755716576943
mut-tu,multu,0.0,0.026572001336980948
mut-tu,mutu,0.0,0.008452427005324576
mut-u,mutu,0.0,0.20219856784519677
mut-u,mulu,1.0,0.605268429071162
mut-u,muu,0.0,0.19253300308364127
mut-o,muto,0.0,0.20219856784519677
mut-o,mulo,1.0,0.605268429071162
mut-o,muo,0.0,0.19253300308364127
mut-to,mutto,1.0,0.9649755716576943
mut-to,multo,0.0,0.026572001336980948
mut-to,muto,0.0,0.008452427005324576
mut-i,muti,0.0,0.20219856784519677
mut-i,muli,1.0,0.605268429071162
mut-i,mui,0.0,0.19253300308364127
mut-ti,mutti,1.0,0.9649755716576943
mut-ti,multi,0.0,0.026572001336980948
mut-ti,muti,0.0,0.008452427005324576
mot-a,mota,0.0,0.20219856784519677
mot-a,mola,1.0,0.605268429071162
mot-a,moa,0.0,0.19253300308364127
mot-ta,motta,1.0,0.9649755716576943
mot-ta,molta,0.0,0.026572001336980948
mot-ta,mota,0.0,0.008452427005324576
mot-e,mote,0.0,0.20219856784519677
mot-e,mole,1.0,0.605268429071162
mot-e,moe,0.0,0.19253300308364127
mot-te,motte,1.0,0.9649755716576943
mot-te,molte,0.0,0.026572001336980948
mot-te,mote,0.0,0.008452427005324576
mot-tu,mottu,1.0,0.9649755716576943
mot-tu,moltu,0.0,0.026572001336980948
mot-tu,motu,0.0,0.008452427005324576
mot-u,motu,0.0,0.20219856784519677
mot-u,molu,1.0,0.605268429071162
mot-u,mou,0.0,0.19253300308364127
mot-o,moto,0.0,0.20219856784519677
mot-o,molo,1.0,0.605268429071162
mot-o,moo,0.0,0.19253300308364127
mot-to,motto,1.0,0.9649755716576943
mot-to,molto,0.0,0.026572001336980948
mot-to,moto,0.0,0.008452427005324576
mot-i,moti,0.0,0.20219856784519677
mot-i,moli,1.0,0.605268429071162
mot-i,moi,0.0,0.19253300308364127
mot-ti,motti,1.0,0.9649755716576943
mot-ti,molti,0.0,0.026572001336980948
mot-ti,moti,0.0,0.008452427005324576
nit-a,nita,0.0,0.20219856784519677
nit-a,nila,1.0,0.605268429071162
nit-a,nia,0.0,0.19253300308364127
nit-ta,nitta,1.0,0.9649755716576943
nit-ta,nilta,0.0,0.026572001336980948
nit-ta,nita,0.0,0.008452427005324576
nit-e,nite,0.0,0.20219856784519677
nit-e,nile,1.0,0.605268429071162
nit-e,nie,0.0,0.19253300308364127
nit-te,nitte,1.0,0.9649755716576943
nit-te,nilte,0.0,0.026572001336980948
nit-te,nite,0.0,0.008452427005324576
nit-tu,nittu,1.0,0.9649755716576943
nit-tu,niltu,0.0,0.026572001336980948
nit-tu,nitu,0.0,0.008452427005324576
nit-u,nitu,0.0,0.20219856784519677
nit-u,nilu,1.0,0.605268429071162
nit-u,niu,0.0,0.19253300308364127
nit-o,nito,0.0,0.20219856784519677
nit-o,nilo,1.0,0.605268429071162
nit-o,nio,0.0,0.19253300308364127
nit-to,nitto,1.0,0.9649755716576943
nit-to,nilto,0.0,0.026572001336980948
nit-to,nito,0.0,0.008452427005324576
nit-i,niti,0.0,0.20219856784519677
nit-i,nili,1.0,0.605268429071162
nit-i,nii,0.0,0.19253300308364127
nit-ti,nitti,1.0,0.9649755716576943
nit-ti,nilti,0.0,0.026572001336980948
nit-ti,niti,0.0,0.008452427005324576
tot-a,tota,0.0,0.20219856784519677
tot-a,tola,1.0,0.605268429071162
tot-a,toa,0.0,0.19253300308364127
tot-ta,totta,1.0,0.9649755716576943
tot-ta,tolta,0.0,0.026572001336980948
tot-ta,tota,0.0,0.008452427005324576
tot-e,tote,0.0,0.20219856784519677
tot-e,tole,1.0,0.605268429071162
tot-e,toe,0.0,0.19253300308364127
tot-te,totte,1.0,0.9649755716576943
tot-te,tolte,0.0,0.026572001336980948
tot-te,tote,0.0,0.008452427005324576
tot-tu,tottu,1.0,0.9649755716576943
tot-tu,toltu,0.0,0.026572001336980948
tot-tu,totu,0.0,0.008452427005324576
tot-u,totu,0.0,0.20219856784519677
tot-u,tolu,1.0,0.605268429071162
tot-u,tou,0.0,0.19253300308364127
tot-o,toto,0.0,0.20219856784519677
tot-o,tolo,1.0,0.605268429071162
tot-o,too,0.0,0.19253300308364127
tot-to,totto,1.0,0.9649755716576943
tot-to,tolto,0.0,0.026572001336980948
tot-to,toto,0.0,0.008452427005324576
tot-i,toti,0.0,0.20219856784519677
tot-i,toli,1.0,0.605268429071162
tot-i,toi,0.0,0.19253300308364127
tot-ti,totti,1.0,0.9649755716576943
tot-ti,tolti,0.0,0.026572001336980948
tot-ti,toti,0.0,0.008452427005324576
not-a,nota,0.0,0.20219856784519677
not-a,nola,1.0,0.605268429071162
not-a,noa,0.0,0.19253300308364127
not-ta,notta,1.0,0.9649755716576943
not-ta,nolta,0.0,0.026572001336980948
not-ta,nota,0.0,0.008452427005324576
not-e,note,0.0,0.20219856784519677
not-e,nole,1.0,0.605268429071162
not-e,noe,0.0,0.19253300308364127
not-te,notte,1.0,0.9649755716576943
not-te,nolte,0.0,0.026572001336980948
not-te,note,0.0,0.008452427005324576
not-tu,nottu,1.0,0.9649755716576943
not-tu,noltu,0.0,0.026572001336980948
not-tu,notu,0.0,0.008452427005324576
not-u,notu,0.0,0.20219856784519677
not-u,nolu,1.0,0.605268429071162
not-u,nou,0.0,0.19253300308364127
not-o,noto,0.0,0.20219856784519677
not-o,nolo,1.0,0.605268429071162
not-o,noo,0.0,0.19253300308364127
not-to,notto,1.0,0.9649755716576943
not-to,nolto,0.0,0.026572001336980948
not-to,noto,0.0,0.008452427005324576
not-i,noti,0.0,0.20219856784519677
not-i,noli,1.0,0.605268429071162
not-i,noi,0.0,0.19253300308364127
not-ti,notti,1.0,0.9649755716576943
not-ti,nolti,0.0,0.026572001336980948
not-ti,noti,0.0,0.008452427005324576
mat-a,mata,0.0,0.20219856784519677
mat-a,mala,1.0,0.605268429071162
mat-a,maa,0.0,0.19253300308364127
mat-ta,matta,1.0,0.9649755716576943
mat-ta,malta,0.0,0.026572001336980948
mat-ta,mata,0.0,0.008452427005324576
mat-e,mate,0.0,0.20219856784519677
mat-e,male,1.0,0.605268429071162
mat-e,mae,0.0,0.19253300308364127
mat-te,matte,1.0,0.9649755716576943
mat-te,malte,0.0,0.026572001336980948
mat-te,mate,0.0,0.008452427005324576
mat-tu,mattu,1.0,0.9649755716576943
mat-tu,maltu,0.0,0.026572001336980948
mat-tu,matu,0.0,0.008452427005324576
mat-u,matu,0.0,0.20219856784519677
