Input,Output,ObservedProb,ExpectedProb
pat-a,pata,1.0,0.4523812437095304
pat-a,pala,0.0,0.3159338588058064
pat-a,paa,0.0,0.23168489748466312
pat-ta,patta,1.0,0.9285706039748243
pat-ta,palta,0.0,0.04120926184352942
pat-ta,pata,0.0,0.030220134181646263
pat-e,pate,1.0,0.4523812437095304
pat-e,pale,0.0,0.3159338588058064
pat-e,pae,0.0,0.23168489748466312
pat-te,patte,1.0,0.9285706039748243
pat-te,palte,0.0,0.04120926184352942
pat-te,pate,0.0,0.030220134181646263
met-a,meta,1.0,0.4523812437095304
met-a,mela,0.0,0.3159338588058064
met-a,mea,0.0,0.23168489748466312
met-ta,metta,1.0,0.9285706039748243
met-ta,melta,0.0,0.04120926184352942
met-ta,meta,0.0,0.030220134181646263
met-e,mete,1.0,0.4523812437095304
met-e,mele,0.0,0.3159338588058064
met-e,mee,0.0,0.23168489748466312
met-te,mette,1.0,0.9285706039748243
met-te,melte,0.0,0.04120926184352942
met-te,mete,0.0,0.030220134181646263
pot-a,pota,1.0,0.4523812437095304
pot-a,pola,0.0,0.3159338588058064
pot-a,poa,0.0,0.23168489748466312
pot-ta,potta,1.0,0.9285706039748243
pot-ta,polta,0.0,0.04120926184352942
pot-ta,pota,0.0,0.030220134181646263
pot-e,pote,1.0,0.4523812437095304
pot-e,pole,0.0,0.3159338588058064
pot-e,poe,0.0,0.23168489748466312
pot-te,potte,1.0,0.9285706039748243
pot-te,polte,0.0,0.04120926184352942
pot-te,pote,0.0,0.030220134181646263
sut-a,suta,1.0,0.4523812437095304
sut-a,sula,0.0,0.3159338588058064
sut-a,sua,0.0,0.23168489748466312
sut-ta,sutta,1.0,0.9285706039748243
sut-ta,sulta,0.0,0.04120926184352942
sut-ta,suta,0.0,0.030220134181646263
sut-e,sute,1.0,0.4523812437095304
sut-e,sule,0.0,0.3159338588058064
sut-e,sue,0.0,0.23168489748466312
sut-te,sutte,1.0,0.9285706039748243
sut-te,sulte,0.0,0.04120926184352942
sut-te,sute,0.0,0.030220134181646263
kat-a,kata,1.0,0.4523812437095304
kat-a,kala,0.0,0.3159338588058064
kat-a,kaa,0.0,0.23168489748466312
kat-ta,katta,1.0,0.9285706039748243
kat-ta,kalta,0.0,0.04120926184352942
kat-ta,kata,0.0,0.030220134181646263
kat-e,kate,1.0,0.4523812437095304
kat-e,kale,0.0,0.3159338588058064
kat-e,kae,0.0,0.23168489748466312
kat-te,katte,1.0,0.9285706039748243
kat-te,kalte,0.0,0.04120926184352942
kat-te,kate,0.0,0.030220134181646263
hot-a,hota,0.0,0.4523812437095304
hot-a,hola,1.0,0.3159338588058064
hot-a,hoa,0.0,0.23168489748466312
hot-ta,hotta,1.0,0.9285706039748243
hot-ta,holta,0.0,0.04120926184352942
hot-ta,hota,0.0,0.030220134181646263
hot-e,hote,0.0,0.4523812437095304
hot-e,hole,1.0,0.3159338588058064
hot-e,hoe,0.0,0.23168489748466312
hot-te,hotte,1.0,0.9285706039748243
hot-te,holte,0.0,0.04120926184352942
hot-te,hote,0.0,0.030220134181646263
mut-a,muta,0.0,0.4523812437095304
mut-a,mula,1.0,0.3159338588058064
mut-a,mua,0.0,0.23168489748466312
mut-ta,mutta,1.0,0.9285706039748243
mut-ta,multa,0.0,0.04120926184352942
mut-ta,muta,0.0,0.030220134181646263
mut-e,mute,0.0,0.4523812437095304
mut-e,mule,1.0,0.3159338588058064
mut-e,mue,0.0,0.23168489748466312
mut-te,mutte,1.0,0.9285706039748243
mut-te,multe,0.0,0.04120926184352942
mut-te,mute,0.0,0.030220134181646263
mot-a,mota,0.0,0.4523812437095304
mot-a,mola,1.0,0.3159338588058064
mot-a,moa,0.0,0.23168489748466312
mot-ta,motta,1.0,0.9285706039748243
mot-ta,molta,0.0,0.04120926184352942
mot-ta,mota,0.0,0.030220134181646263
mot-e,mote,0.0,0.4523812437095304
mot-e,mole,1.0,0.3159338588058064
mot-e,moe,0.0,0.23168489748466312
mot-te,motte,1.0,0.9285706039748243
mot-te,molte,0.0,0.04120926184352942
mot-te,mote,0.0,0.030220134181646263
nit-a,nita,0.0,0.4523812437095304
nit-a,nila,1.0,0.3159338588058064
nit-a,nia,0.0,0.23168489748466312
nit-ta,nitta,1.0,0.9285706039748243
nit-ta,nilta,0.0,0.04120926184352942
nit-ta,nita,0.0,0.030220134181646263
nit-e,nite,0.0,0.4523812437095304
nit-e,nile,1.0,0.3159338588058064
nit-e,nie,0.0,0.23168489748466312
nit-te,nitte,1.0,0.9285706039748243
